Case_Number,Fault_Resistance,Fault_Angle,Fault_Duration,Vnadir,Number of Trips,Number of Chatters,Value of Chatters,Final_Output,Segment 1_Stall,Segment2_Stall,Segment3_Stall,TMS,,T1_Measured,V1_Measured,T2_Measured,V2_Measured,,,,,,
122,0.762169068,1.999203046,0.087446866,0.809054061,3,0,3,3,1,1,1,30,,0.01304712,0.815136257,104.876954,0.870341255,,,,,,
123,1.975191038,1.998788108,0.078110888,0.873779351,0,3,1.5,1.5,0,0,1,10,,0.036596954,0.873779351,94.371892,0.932806466,,,,,,
124,0.353846979,1.995923024,0.068563274,0.756628963,3,0,3,3,1,1,1,30,,0.007971892,0.757272264,82.236976,0.853217525,,,,,,
125,1.431828771,1.999840542,0.092310095,0.851887199,0,3,1.5,1.5,1,1,1,30,,0.018516976,0.864942911,107.239458,0.909725396,,,,,,
126,0.060502397,1.997544119,0.07929136,0.685358429,3,0,3,3,1,1,1,30,,0.009199458,0.68759079,96.575881,0.824885167,,,,,,
127,0.314225795,1.996045626,0.070084293,0.749035794,3,0,3,3,1,1,1,30,,0.009335881,0.749736796,82.234374,0.849984149,,,,,,
128,1.316429131,1.997623153,0.087235882,0.84367709,0,3,1.5,1.5,1,1,1,30,,0.016234374,0.860144324,107.176847,0.908029713,,,,,,
129,1.215133831,1.997390833,0.074943026,0.841370151,0,3,1.5,1.5,0,0,0,0,,0.013456847,0.847684014,91.689167,0.929063841,,,,,,
130,1.318317456,1.998664273,0.099406591,0.848195611,0,3,1.5,1.5,0,1,1,20,,0.015369167,0.856994775,108.655727,0.916548361,,,,,,
131,0.799350459,1.998123881,0.097030138,0.809598909,0,3,1.5,1.5,1,1,1,30,"(1,2)",0.010975727,0.81920328,111.476119,0.905997087,,,,,,
132,0.394396343,1.999670761,0.082092612,0.763361196,3,0,3,3,1,1,1,30,,0.011756119,0.764263152,93.249239,0.877402347,,,,,,
133,0.414556298,1.999307432,0.069922427,0.767223227,3,0,3,3,1,1,1,30,,0.010209239,0.767776369,90.732568,0.878423629,,,,,,
134,0.696731364,1.996548519,0.093645859,0.806323568,3,0,3,3,1,1,1,30,,0.008892568,0.807949083,106.451481,0.883962642,,,,,,
135,1.408532324,1.997144176,0.08383104,0.847084464,0,3,1.5,1.5,0,0,1,10,,0.016451481,0.861591044,97.575824,0.929387696,,,,,,
136,0.201675031,1.996537143,0.093567482,0.722735104,3,0,3,3,1,1,1,30,,0.010455824,0.725508461,107.662857,0.833906052,,,,,,
137,1.148516361,1.997375608,0.087570239,0.836234729,0,3,1.5,1.5,1,0,1,20,,0.014062857,0.846480052,108.264392,0.928136471,,,,,,
138,1.670339491,1.996126662,0.088523282,0.866532593,0,3,1.5,1.5,1,0,0,10,,0.027504392,0.873998349,101.233338,0.894521411,,,,,,
139,0.115334161,1.999037073,0.078339002,0.701497771,3,0,3,3,1,1,1,30,,0.013873338,0.702995998,94.122927,0.843005891,,,,,,
140,0.135723264,2.000032455,0.096560694,0.705262776,3,0,3,3,1,1,1,30,,0.011082927,0.708358672,109.687545,0.845615257,,,,,,
141,0.230018498,1.998795028,0.095047413,0.728892025,3,0,3,3,1,1,1,30,,0.009607545,0.731681493,111.044972,0.857256682,,,,,,
142,0.083859494,1.997188246,0.071577541,0.693311363,3,0,3,3,1,1,1,30,,0.009884972,0.694582414,93.091754,0.857950622,,,,,,
143,0.572227202,1.997300114,0.075084013,0.791490071,3,0,3,3,1,1,1,30,,0.011611754,0.792054772,89.859886,0.863250592,,,,,,
144,0.464165603,1.999334963,0.092861313,0.773877805,3,0,3,3,1,1,1,30,,0.012579886,0.775924817,110.265037,0.882794762,,,,,,
145,1.834806186,1.99670484,0.081824185,0.876327696,0,3,1.5,1.5,0,0,0,0,,0.030345037,0.878200883,94.17516,0.927682269,,,,,,
146,0.749277239,1.997018954,0.092706674,0.808069763,3,0,3,3,1,1,1,30,,0.01209516,0.813828204,105.261046,0.882385099,,,,,,
147,1.248911502,1.997490619,0.093276056,0.840108155,0,3,1.5,1.5,1,0,0,10,,0.014421046,0.854447175,105.029381,0.906016159,,,,,,
148,0.98124119,1.998378148,0.07596204,0.823578998,0,3,1.5,1.5,1,1,1,30,,0.012749381,0.832629733,92.141852,0.92248066,,,,,,
149,1.424496252,1.997036683,0.095467361,0.846160201,0,3,1.5,1.5,0,0,1,10,,0.014741852,0.863001177,105.363317,0.86566551,,,,,,
150,1.904955469,1.99589116,0.099980322,0.878415895,0,3,1.5,1.5,0,0,0,0,,0.039603317,0.883474112,118.14884,0.953773012,,,,,,
151,0.382125969,1.999218908,0.093462806,0.759898274,3,0,3,3,1,1,1,30,,0.01398884,0.762137371,110.501092,0.875023225,,,,,,
