Domain, Vposmag, PriVposmag, PriIposmag, Iposmag,,Domain, Signal, Signal1, Signal2
1.98204,7.324889698,39.74465209,0.095588065,0.530256236,,1.98204,0,0,0
1.98216,7.324889698,39.74465209,0.095588065,0.530256236,,1.98216,0,0,0
1.98228,7.324889698,39.74465209,0.095588065,0.530256236,,1.98228,0,0,0
1.9824,7.324824631,39.74465503,0.095585503,0.530242132,,1.9824,0,0,0
1.98252,7.324824631,39.74465503,0.095585503,0.530242132,,1.98252,0,0,0
1.98264,7.324824631,39.74465503,0.095585503,0.530242132,,1.98264,0,0,0
1.98276,7.324824631,39.74465503,0.095585503,0.530242132,,1.98276,0,0,0
1.98288,7.324824631,39.74465503,0.095585503,0.530242132,,1.98288,0,0,0
1.983,7.324824631,39.74465503,0.095585503,0.530242132,,1.983,0,0,0
1.98312,7.324824631,39.74465503,0.095585503,0.530242132,,1.98312,0,0,0
1.98324,7.324824631,39.74465503,0.095585503,0.530242132,,1.98324,0,0,0
1.98336,7.324763207,39.74465137,0.095589499,0.530264273,,1.98336,0,0,0
1.98348,7.324763207,39.74465137,0.095589499,0.530264273,,1.98348,0,0,0
1.9836,7.324763207,39.74465137,0.095589499,0.530264273,,1.9836,0,0,0
1.98372,7.324763207,39.74465137,0.095589499,0.530264273,,1.98372,0,0,0
1.98384,7.324763207,39.74465137,0.095589499,0.530264273,,1.98384,0,0,0
1.98396,7.324763207,39.74465137,0.095589499,0.530264273,,1.98396,0,0,0
1.98408,7.324763207,39.74465137,0.095589499,0.530264273,,1.98408,0,0,0
1.9842,7.324763207,39.74465137,0.095589499,0.530264273,,1.9842,0,0,0
1.98432,7.324763207,39.74465137,0.095589499,0.530264273,,1.98432,0,0,0
1.98444,7.32481245,39.74464661,0.095594148,0.530289936,,1.98444,0,0,0
1.98456,7.32481245,39.74464661,0.095594148,0.530289936,,1.98456,0,0,0
1.98468,7.32481245,39.74464661,0.095594148,0.530289936,,1.98468,0,0,0
1.9848,7.32481245,39.74464661,0.095594148,0.530289936,,1.9848,0,0,0
1.98492,7.32481245,39.74464661,0.095594148,0.530289936,,1.98492,0,0,0
1.98504,7.32481245,39.74464661,0.095594148,0.530289936,,1.98504,0,0,0
1.98516,7.32481245,39.74464661,0.095594148,0.530289936,,1.98516,0,0,0
1.98528,7.32481245,39.74464661,0.095594148,0.530289936,,1.98528,0,0,0
1.9854,7.32481245,39.74464661,0.095594148,0.530289936,,1.9854,0,0,0
1.98552,7.324880891,39.74464784,0.095592946,0.530283278,,1.98552,0,0,0
1.98564,7.324880891,39.74464784,0.095592946,0.530283278,,1.98564,0,0,0
1.98576,7.324880891,39.74464784,0.095592946,0.530283278,,1.98576,0,0,0
1.98588,7.324880891,39.74464784,0.095592946,0.530283278,,1.98588,0,0,0
1.986,7.324880891,39.74464784,0.095592946,0.530283278,,1.986,0,0,0
1.98612,7.324880891,39.74464784,0.095592946,0.530283278,,1.98612,0,0,0
1.98624,7.324880891,39.74464784,0.095592946,0.530283278,,1.98624,0,0,0
1.98636,7.324880891,39.74464784,0.095592946,0.530283278,,1.98636,0,0,0
